## [iView]
## Converted from:	\\langcog-NAS.stanford.edu\Experiments\TAB_COMP\EyeTracking\CDM Data\2014_8_18_31-eye_data.idf
## Date:	18.08.2014 19:04:46
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	25485                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	2014_8_18_31                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Stimulus
5905805130	SMP	1	1.7	0	1.7	0	Elmos World The Sky Active.avi
5905813525	SMP	1	0.33	0	0.33	0	Elmos World The Sky Active.avi
5905821899	SMP	1	0.05	0	0.05	0	Elmos World The Sky Active.avi
5905830141	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5905838516	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5905846903	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5905855181	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5905863537	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5905871906	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5905880246	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5905888567	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5905896925	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5905905300	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5905913679	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5905921910	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5905930294	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5905938659	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5905947042	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5905955368	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5905963698	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5905972031	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5905980396	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5905988669	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5905997053	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5906005569	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5906013652	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5906022031	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5906030403	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5906038837	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5906047023	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5906055358	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5906063841	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5906072188	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5906080393	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5906088821	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
5906097181	SMP	1	-9.11	381.76	-9.11	381.76	Elmos World The Sky Active.avi
5906105570	SMP	1	155.46	512.95	155.46	512.95	Elmos World The Sky Active.avi
5906113755	SMP	1	186.5	669.07	186.5	669.07	Elmos World The Sky Active.avi
5906122159	SMP	1	335.02	689.67	335.02	689.67	Elmos World The Sky Active.avi
5906130534	SMP	1	617.52	671.88	617.52	671.88	Elmos World The Sky Active.avi
5906138808	SMP	1	671.67	721.77	671.67	721.77	Elmos World The Sky Active.avi
5906147191	SMP	1	551.79	731.15	551.79	731.15	Elmos World The Sky Active.avi
5906155531	SMP	1	548.09	738.18	548.09	738.18	Elmos World The Sky Active.avi
5906163920	SMP	1	564.76	746.25	564.76	746.25	Elmos World The Sky Active.avi
5906172191	SMP	1	565.38	747.51	565.38	747.51	Elmos World The Sky Active.avi
5906180518	SMP	1	566.56	747.47	566.56	747.47	Elmos World The Sky Active.avi
5906188855	SMP	1	564.3	743.78	564.3	743.78	Elmos World The Sky Active.avi
5906197294	SMP	1	566.41	747.04	566.41	747.04	Elmos World The Sky Active.avi
5906205580	SMP	1	568.06	745.16	568.06	745.16	Elmos World The Sky Active.avi
5906213923	SMP	1	564.02	749.17	564.02	749.17	Elmos World The Sky Active.avi
5906222286	SMP	1	565.98	748.44	565.98	748.44	Elmos World The Sky Active.avi
5906230676	SMP	1	560.72	747.3	560.72	747.3	Elmos World The Sky Active.avi
5906238939	SMP	1	562.68	750.62	562.68	750.62	Elmos World The Sky Active.avi
5906247286	SMP	1	561.12	752.22	561.12	752.22	Elmos World The Sky Active.avi
5906255654	SMP	1	562.06	751.73	562.06	751.73	Elmos World The Sky Active.avi
5906263935	SMP	1	552.88	749.24	552.88	749.24	Elmos World The Sky Active.avi
5906272325	SMP	1	557.08	745.26	557.08	745.26	Elmos World The Sky Active.avi
5906280637	SMP	1	557.71	744.45	557.71	744.45	Elmos World The Sky Active.avi
5906289042	SMP	1	554.74	743.23	554.74	743.23	Elmos World The Sky Active.avi
5906297314	SMP	1	550.37	740.3	550.37	740.3	Elmos World The Sky Active.avi
5906305685	SMP	1	551.01	737.86	551.01	737.86	Elmos World The Sky Active.avi
5906314050	SMP	1	549.22	741.95	549.22	741.95	Elmos World The Sky Active.avi
5906322396	SMP	1	549.2	737.14	549.2	737.14	Elmos World The Sky Active.avi
5906331179	SMP	1	552.1	742.66	552.1	742.66	Elmos World The Sky Active.avi
5906339057	SMP	1	548.28	734.93	548.28	734.93	Elmos World The Sky Active.avi
5906347373	SMP	1	548.87	731.12	548.87	731.12	Elmos World The Sky Active.avi
5906355762	SMP	1	554.77	732.15	554.77	732.15	Elmos World The Sky Active.avi
5906364046	SMP	1	562.99	735.75	562.99	735.75	Elmos World The Sky Active.avi
5906372417	SMP	1	549.92	736.27	549.92	736.27	Elmos World The Sky Active.avi
5906380780	SMP	1	550.74	732.89	550.74	732.89	Elmos World The Sky Active.avi
5906389127	SMP	1	555.93	730.55	555.93	730.55	Elmos World The Sky Active.avi
5906397529	SMP	1	551.67	735.3	551.67	735.3	Elmos World The Sky Active.avi
5906405833	SMP	1	556.02	733.6	556.02	733.6	Elmos World The Sky Active.avi
5906414159	SMP	1	549.47	731.62	549.47	731.62	Elmos World The Sky Active.avi
5906422407	SMP	1	550.95	729.87	550.95	729.87	Elmos World The Sky Active.avi
5906430797	SMP	1	554.76	732.57	554.76	732.57	Elmos World The Sky Active.avi
5906439188	SMP	1	560.94	732.6	560.94	732.6	Elmos World The Sky Active.avi
5906447510	SMP	1	558.57	732.26	558.57	732.26	Elmos World The Sky Active.avi
5906455754	SMP	1	558.78	731.28	558.78	731.28	Elmos World The Sky Active.avi
5906464853	SMP	1	558.97	728.54	558.97	728.54	Elmos World The Sky Active.avi
5906472559	SMP	1	561.32	727.83	561.32	727.83	Elmos World The Sky Active.avi
5906480875	SMP	1	558.54	726.45	558.54	726.45	Elmos World The Sky Active.avi
5906489159	SMP	1	559.36	727.56	559.36	727.56	Elmos World The Sky Active.avi
5906498301	SMP	1	558.97	724.49	558.97	724.49	Elmos World The Sky Active.avi
5906505947	SMP	1	560.01	722.25	560.01	722.25	Elmos World The Sky Active.avi
5906514265	SMP	1	562.89	723.3	562.89	723.3	Elmos World The Sky Active.avi
5906522563	SMP	1	559.85	720.45	559.85	720.45	Elmos World The Sky Active.avi
5906530915	SMP	1	561.71	718.03	561.71	718.03	Elmos World The Sky Active.avi
5906539293	SMP	1	559.4	718.74	559.4	718.74	Elmos World The Sky Active.avi
5906547468	SMP	1	559.51	720.76	559.51	720.76	Elmos World The Sky Active.avi
5906555881	SMP	1	563.07	719.85	563.07	719.85	Elmos World The Sky Active.avi
5906564311	SMP	1	568.25	719.54	568.25	719.54	Elmos World The Sky Active.avi
5906572667	SMP	1	568.11	718.67	568.11	718.67	Elmos World The Sky Active.avi
5906580932	SMP	1	562.42	718.54	562.42	718.54	Elmos World The Sky Active.avi
5906589289	SMP	1	562.46	713.42	562.46	713.42	Elmos World The Sky Active.avi
5906614307	SMP	1	574.83	717.61	574.83	717.61	Elmos World The Sky Active.avi
5906622666	SMP	1	679.25	588.2	679.25	588.2	Elmos World The Sky Active.avi
