## [iView]
## Converted from:	\\langcog-NAS.stanford.edu\Experiments\TAB_COMP\EyeTracking\CDM Data\2014_9_9_92-eye_data.idf
## Date:	09.09.2014 21:04:52
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	17408                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	2014_9_9_92                                                                                                                                                                                                                                                     
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Stimulus
13502497490	SMP	1	391.47	705.21	391.47	705.21	Elmos World The Sky Active.avi
13502505729	SMP	1	394.69	705.27	394.69	705.27	Elmos World The Sky Active.avi
13502514076	SMP	1	391.55	701.49	391.55	701.49	Elmos World The Sky Active.avi
13502522485	SMP	1	392.6	705.58	392.6	705.58	Elmos World The Sky Active.avi
13502530840	SMP	1	390.4	702.79	390.4	702.79	Elmos World The Sky Active.avi
13502539074	SMP	1	386.45	694.64	386.45	694.64	Elmos World The Sky Active.avi
13502547457	SMP	1	387.87	705.04	387.87	705.04	Elmos World The Sky Active.avi
13502555830	SMP	1	388.21	700	388.21	700	Elmos World The Sky Active.avi
13502564099	SMP	1	387.16	698.37	387.16	698.37	Elmos World The Sky Active.avi
13502572424	SMP	1	384.99	700.84	384.99	700.84	Elmos World The Sky Active.avi
13502580804	SMP	1	386.59	706.5	386.59	706.5	Elmos World The Sky Active.avi
13502589236	SMP	1	388.29	704.89	388.29	704.89	Elmos World The Sky Active.avi
13502597451	SMP	1	387.44	695.45	387.44	695.45	Elmos World The Sky Active.avi
13502605816	SMP	1	388.73	708.59	388.73	708.59	Elmos World The Sky Active.avi
13502614206	SMP	1	384.96	702.02	384.96	702.02	Elmos World The Sky Active.avi
13502622611	SMP	1	383.79	713.69	383.79	713.69	Elmos World The Sky Active.avi
13502630875	SMP	1	389.38	711.59	389.38	711.59	Elmos World The Sky Active.avi
13502639223	SMP	1	384.89	677.43	384.89	677.43	Elmos World The Sky Active.avi
13502647613	SMP	1	389.57	696.86	389.57	696.86	Elmos World The Sky Active.avi
13502656615	SMP	1	357.21	734.72	357.21	734.72	Elmos World The Sky Active.avi
13502664254	SMP	1	322.64	761.39	322.64	761.39	Elmos World The Sky Active.avi
13502672570	SMP	1	322.21	744.64	322.21	744.64	Elmos World The Sky Active.avi
13502680957	SMP	1	335.35	739.63	335.35	739.63	Elmos World The Sky Active.avi
13502689233	SMP	1	326.9	748.73	326.9	748.73	Elmos World The Sky Active.avi
13502697626	SMP	1	417.52	631.56	417.52	631.56	Elmos World The Sky Active.avi
13502705983	SMP	1	364.34	684.73	364.34	684.73	Elmos World The Sky Active.avi
13502714280	SMP	1	304.59	754.54	304.59	754.54	Elmos World The Sky Active.avi
13502722550	SMP	1	437.54	624.58	437.54	624.58	Elmos World The Sky Active.avi
13502731003	SMP	1	357.22	711.81	357.22	711.81	Elmos World The Sky Active.avi
13502739347	SMP	1	369.45	715.31	369.45	715.31	Elmos World The Sky Active.avi
13502747720	SMP	1	390.26	731.64	390.26	731.64	Elmos World The Sky Active.avi
13502755962	SMP	1	314.24	720.9	314.24	720.9	Elmos World The Sky Active.avi
13502764334	SMP	1	388.26	710.6	388.26	710.6	Elmos World The Sky Active.avi
13502772736	SMP	1	277.05	727.75	277.05	727.75	Elmos World The Sky Active.avi
13502781052	SMP	1	439.49	711.67	439.49	711.67	Elmos World The Sky Active.avi
13502789346	SMP	1	316.85	725.52	316.85	725.52	Elmos World The Sky Active.avi
13502797743	SMP	1	399.48	715.07	399.48	715.07	Elmos World The Sky Active.avi
13502806093	SMP	1	390.71	698.8	390.71	698.8	Elmos World The Sky Active.avi
13502814335	SMP	1	388.35	710.83	388.35	710.83	Elmos World The Sky Active.avi
13502822723	SMP	1	391.98	716.11	391.98	716.11	Elmos World The Sky Active.avi
13502831088	SMP	1	390.59	693.98	390.59	693.98	Elmos World The Sky Active.avi
13502839485	SMP	1	388.06	707.57	388.06	707.57	Elmos World The Sky Active.avi
13502847672	SMP	1	392.22	702.21	392.22	702.21	Elmos World The Sky Active.avi
13502856799	SMP	1	386.83	713.06	386.83	713.06	Elmos World The Sky Active.avi
13502864495	SMP	1	388.04	715	388.04	715	Elmos World The Sky Active.avi
13502872817	SMP	1	388	721.05	388	721.05	Elmos World The Sky Active.avi
13502881101	SMP	1	385.27	712.73	385.27	712.73	Elmos World The Sky Active.avi
13502889481	SMP	1	388.17	721.94	388.17	721.94	Elmos World The Sky Active.avi
13502897849	SMP	1	386.69	714.25	386.69	714.25	Elmos World The Sky Active.avi
13502906196	SMP	1	385.88	714.86	385.88	714.86	Elmos World The Sky Active.avi
13502914457	SMP	1	383.94	716.14	383.94	716.14	Elmos World The Sky Active.avi
13502922846	SMP	1	387.75	724.51	387.75	724.51	Elmos World The Sky Active.avi
13502931246	SMP	1	388.64	721.63	388.64	721.63	Elmos World The Sky Active.avi
13502939603	SMP	1	387.45	720.94	387.45	720.94	Elmos World The Sky Active.avi
13502947818	SMP	1	390.94	725.15	390.94	725.15	Elmos World The Sky Active.avi
13502956220	SMP	1	392.57	716.82	392.57	716.82	Elmos World The Sky Active.avi
13502964604	SMP	1	391.71	720.5	391.71	720.5	Elmos World The Sky Active.avi
13502972828	SMP	1	391.86	717.55	391.86	717.55	Elmos World The Sky Active.avi
13502981214	SMP	1	390.74	725.16	390.74	725.16	Elmos World The Sky Active.avi
13502989613	SMP	1	390.93	728.2	390.93	728.2	Elmos World The Sky Active.avi
